stop_id,stop_code,name,description,latitude,longitude,routes,ridership,match_method,city_nbr_shelters_raw,valley_shelters_raw,valley_shelter_raw,valley_shade_raw,historical_photo_url,shelter_status
2121,11679,27th Av & Van Buren St,NB 27th Av & FS Van Buren St,33.4517020000001,-112.117385,27,115,stop_id,,0,0,,,unknown
100,16619,Bell Rd & 44th St,EB Bell Rd & FS 44th St,33.6404830000001,-111.986084,170,3,stop_id,,0,0,,,unknown
2122,11686,27th Av & Virginia Av,NB 27th Av & FS Virginia Av,33.4773920000001,-112.116957,27,6,stop_id,,0,0,,,unknown
1003,13532,Atlanta Av & 11th Av,EB Atlanta Av & FS 11th Av,33.4000360000001,-112.085804,52,6,stop_id,,0,0,,,unknown
2123,11682,27th Av & I-10 Fwy,NB 27th Av & FS I-10 Fwy,33.462864,-112.117078,27,3,stop_id,,0,0,,,unknown
1004,14926,Baseline Rd & 19th Av,EB Baseline Rd & FS 19th Av,33.377644,-112.098529,77,39,stop_id,,0,0,,,unknown
1005,11503,Baseline Rd & 35th Av,EB Baseline Rd & FS 35th Av,33.377511,-112.133145,"77, 35",66,stop_id,,0,0,,,unknown
2124,11678,27th Av & Adams St,NB 27th Av & FS Adams St,33.449618,-112.117401,27,2,stop_id,,0,0,,,unknown
1006,10819,Baseline Rd & 7th Av,EB Baseline Rd & FS 7th Av,33.3776080000001,-112.082137,77,17,stop_id,,0,0,,,unknown
2125,18308,27th Av & Belmont Av,NB 27th Av & FS Belmont Av,33.549522,-112.116845,27,12,stop_id,,0,0,,,unknown
2126,11680,27th Av & Fillmore St,NB 27th Av & FS Fillmore St,33.4551010000001,-112.117314,27,7,stop_id,,0,0,,,unknown
1008,14928,Baseline Rd & 15th Av,EB Baseline Rd & FS 15th Av,33.3776140000001,-112.091452,77,5,stop_id,,0,0,,,unknown
2127,11708,27th Av & Griswold Rd,NB 27th Av & FS Griswold Rd,33.5571420000001,-112.116858,27,5,stop_id,,0,0,,,unknown
1009,14722,Baseline Rd & 27th Av PNR,EB Baseline Rd & AT 27th Av PNR,33.3775450000001,-112.118008,"SMW, 77, 35",51,stop_id,,0,0,,,unknown
2128,11681,27th Av & Roosevelt St,NB 27th Av & FS Roosevelt St,33.4590650000001,-112.117191,27,13,stop_id,,0,0,,,unknown
101,16620,Bell Rd & 4612 East,EB Bell Rd & AT 4612 East,33.6404390000001,-111.979856,170,6,stop_id,,0,0,,,unknown
2129,11702,27th Av & Ocotillo Rd,NB 27th Av & NS Ocotillo Rd,33.53463,-112.116783,27,10,stop_id,,0,0,,,unknown
1010,11505,Baseline Rd & 29th Av,EB Baseline Rd & FS 29th Av,33.377575,-112.121448,"77, 35",5,stop_id,,0,0,,,unknown
2130,11737,28th Av & Kathleen Rd,NB 28th Av & FS Kathleen Rd,33.630749,-112.118016,27,2,stop_id,,0,0,,,unknown
1011,10760,Baseline Rd & 4th Av,EB Baseline Rd & FS 4th Av,33.377642,-112.078664,"8, 77",15,stop_id,,0,0,,,unknown
2131,11736,28th Av & 28th Dr,NB 28th Av & FS 28th Dr,33.6275650000001,-112.118154,27,1,stop_id,,0,0,,,unknown
2132,11739,28th Av & Kelton Ln,NB 28th Av & NS Kelton Ln,33.6355130000001,-112.118592,27,2,stop_id,,0,0,,,unknown
10142,10765,Sunnyslope TC,Sunnyslope TC (Bay 1 north side),33.567123,-112.069363,SMRT,,unmatched,,0,,,,unknown
1015,18460,7th St & Union Hills Dr,NB 7th St & FS Union Hills Dr,33.6552580000001,-112.065362,7,9,stop_id,,0,0,,,unknown
1019,18461,7th St & Westcott Dr,NB 7th St & FS Westcott Dr,33.65909,-112.065462,7,1,stop_id,,0,0,,,unknown
102,16623,Bell Rd & 52nd St,EB Bell Rd & FS 52nd St,33.6403690000001,-111.968269,170,0,stop_id,,0,0,,,unknown
1022,18462,7th St & Utopia Dr,NB 7th St & FS Utopia Dr,33.66256,-112.065473,7,0,stop_id,,0,0,,,unknown
1023,18463,7th St & Behrend Dr,NB 7th St & FS Behrend Dr,33.666252,-112.065443,7,2,stop_id,,0,0,,,unknown
1024,16585,Bell Rd & 41st Av,EB Bell Rd & FS 41st Av,33.63926,-112.146273,170,9,stop_id,,0,0,,,unknown
1025,16597,Bell Rd & 11th Av,EB Bell Rd & FS 11th Av,33.6400370000001,-112.08671,170,30,stop_id,,0,0,,,unknown
1026,16596,Bell Rd & 15th Av,EB Bell Rd & FS 15th Av,33.6400140000001,-112.090995,170,21,stop_id,,0,0,,,unknown
1027,16595,Bell Rd & 17th Av,EB Bell Rd & FS 17th Av,33.640007,-112.095044,170,31,stop_id,,0,0,,,unknown
10272,10775,Sunnyslope TC,Sunnyslope TC (Bay 8 south side),33.5670250000001,-112.06934,SMRT,,unmatched,,0,0,,https://farm9.staticflickr.com/8753/16796369567_f53509ff42_o.jpg,unknown
